facility_name,facility_code,Old Facility Code,admin1,Sub-District,Constituency,facility_type,latitude,longitude,Telephone,Urban or Rural,Always Open,status,Publication Status,Catchment Area,Updated,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
BOTSOGO MEDICAL CENTRE,691236-4,94,Kgatleng,NA,NA,Private Hospital,-24.6546432,25.919488,+267 5729413,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Bose Medical Centre,685786-6,20721,Mahalapye,Mahalapye,MAHALAPYE WEST,Individual practitioner,-21.3352448,25.362432,+267 4713101,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2025-03-25T13:03:48Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St Simon Medical Centre,87090-7,NA,Kweneng East,Kweneng East,MOLEPOLOLE NORTH,Individual practitioner,-24.406571,25.51923,5915052,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-05T11:10:04Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jorreti Medical Centre,779515-6,30001,Ngami,NA,NA,Individual practitioner,-19.3716452,22.1622701,+267 6874886,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
The Village Surgery,620538-9,30003,Greater Gaborone,Greater Gaborone,GABORONE SOUTH,Poly Clinic,-24.6022144,25.9096576,+267 3117864,Urban,FALSE,OPERATIONAL,PUBLISHED,8379,2023-05-24T09:40:26Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
The Orthodontic Centre PTY LTD,758046-7,20359,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Individual practitioner,-24.6891768,25.8848852,+267 3186527,Urban,FALSE,OPERATIONAL,PUBLISHED,1500,2023-05-24T08:49:51Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
UNIVERSAL FAMILY CLINIC,395705-7,791,Kweneng East,NA,NA,Individual practitioner,-24.6311588,25.8831774,+267 71429704,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
KB MEDICAL CLINIC,535372-7,359,Greater Gaborone,NA,NA,Individual practitioner,-24.62808,25.9233796288,+267 3913823,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ultra care,184725-0,NA,South East,South East,RAMOTSWA,Individual practitioner,-24.8756987,25.8754166,+267 76302396,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-23T06:18:03Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
DR HIRUI MEDICAL CLINIC,362330-3,NA,Palapye,Palapye,PALAPYE,Ambulatory Center,-22.5514872,27.1147095,492 3125,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-02T13:58:34Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Wellbeing Physiotherapy and Sports Injury Clinic,552739-5,20180,Mahalapye,Mahalapye,MAHALAPYE WEST,Individual practitioner,-23.1103403,26.8229577,+267 74195188,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-20T09:15:38Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MASA FAMILY CLINIC,135575-9,424,Greater Gaborone,NA,NA,Individual practitioner,-22.38773831,26.70396939,+267 71810727,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Xpert Imaging Clinic,383703-6,NA,Kanye,Kanye,KANYE SOUTH,Individual practitioner,-24.978946,25.335817,71593217/75963727/74886892,Rural,FALSE,OPERATIONAL,PUBLISHED,80,2023-06-28T12:49:35Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AGAPE DENTAL CLINIC,599109-6,22,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Individual practitioner,-24.6530684,25.9187146,+267 3913408,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-06-01T18:17:39Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Masilo surgical Services,704344-1,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Individual practitioner,-24.639347,25.933559,3685642,Urban,TRUE,OPERATIONAL,PUBLISHED,NA,2025-07-08T08:45:34Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AIMS SURGICAL CLINIC,460024-3,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Individual practitioner,-24.629347,25.933559,3923089/3685611,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-07-08T09:09:24Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tirelo Motseonageng Clinic,437590-3,20-4-06,Kweneng West,Kweneng West,TAKATOKWANE,Clinic,-24.095454,24.531212,+267 5932328,Rural,FALSE,OPERATIONAL,PUBLISHED,2479,2023-08-28T08:23:40Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kazungula BDF Health Post,189383-3,10-4-10,Chobe,Chobe,CHOBE,Health Post,-17.803302,25.243565,6240014,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2024-08-28T12:37:02Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tshwaane Health Post,803266-6,20-4-14,Kweneng West,Kweneng West,TAKATOKWANE,Health Post,-23.858,23.656119,+267 5960225,Rural,FALSE,OPERATIONAL,PUBLISHED,732,2023-08-28T08:24:08Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
PHARMA SOUTH PHARMACY,942698-2,NA,Greater Gaborone,Greater Gaborone,GABORONE NORTH,Group practice,-24.6437,25.9112,3906688,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-16T07:09:55Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ditshukudu Health  Post,936820-0,05-4-17,Kweneng East,Kweneng East,LENTSWELETAU-MMOPANE,Health Post,-24.290104,25.745699,+267 5960073,Rural,FALSE,OPERATIONAL,PUBLISHED,184,2023-04-19T06:52:42Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
OPTICAL INSIGHT,1026941-3,1,Greater Gaborone,NA,NA,Individual practitioner,-21.3352448,25.362432,+267 2976929,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Old Sekgoma Clinic,447878-0,1,Serowe,Serowe,SEROWE WEST,Clinic,-22.3919246,26.6914428,2674620438,NA,TRUE,OPERATIONAL,PUBLISHED,NA,2023-05-19T09:55:29Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Matshelagabedi Clinic,243426-4,16-3-20,Greater Francistown,North East,TATI EAST,Clinic with Maternity,-21.118833,27.659796,+267 2414771,Rural,FALSE,OPERATIONAL,PUBLISHED,10800,2023-04-04T09:54:04Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mabudzane Health  Post,870308-4,02-4-18,North East,North East,TATI EAST,Health Post,-20.908692,27.630733,+267 2488094,Rural,FALSE,OPERATIONAL,PUBLISHED,563,2023-04-18T09:01:08Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bokaa  Clinic,228800-9,09-3-02,Kgatleng,Kgatleng,MOCHUDI EAST,Clinic with Maternity,-24.4218,26.0244,+267 5753001,Rural,TRUE,OPERATIONAL,PUBLISHED,9000,2024-02-08T10:17:23Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Okavare Pharmacy,639545-3,NA,Charleshill,Charleshill,GHANZI SOUTH,Private Hospital,-22.27441057635965,20.074365358352683,6511096,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-07-25T13:50:22Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
GM CLINIC,490773-9,292,Kweneng East,NA,NA,Individual practitioner,-24.6382592,25.9129344,+267 74176819,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
SMILE TIME DENTAL CARE,822377-8,NA,Greater Gaborone,Greater Gaborone,GABORONE BONNINGTON NORTH,Individual practitioner,-24.643599,25.884803,73145784,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-20T08:12:18Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ecopath Pathology Laboratory,527110-1,20438,Greater Gaborone,NA,NA,Individual practitioner,-24.56012829,25.97872048,+267 3110813,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
WOMENS HEALTH CENTRE,125093-5,819,Ngami,NA,NA,Individual practitioner,-24.9953,23.4181,+267 6864950,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
SHEKINA MEDICAL CENTRE,708972-5,NA,Bobirwa,Bobirwa,MMADINARE,Individual practitioner,-21.881208,27.751522,+2672617838,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-23T11:52:15Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Akbar Pharmacy,263337-8,NA,South East,South East,GABORONE CENTRAL,Individual practitioner,-24.6592,25.91435,3910087,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-20T13:39:19Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
PHARMA KGATLENG PTY LTD,272797-2,NA,Kgatleng,Kgatleng,MOCHUDI WEST,Individual practitioner,-24.397436,26.149568,75494094,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-26T07:58:26Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
LA GRACE PVT MED CLINIC,529072-1,377,Ngami,NA,NA,Individual practitioner,-20.0258093,23.4374805,+267 73718605,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Pharma Africa Pharmacy,686745-1,NA,Chobe,Chobe,CHOBE,Group practice,-17.799,25.15,6251502,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-20T14:11:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
VISION 20/20 CENTER,1012440-2,806,NA,NA,NA,Individual practitioner,-21.1710835,27.5121047,+267 73326351,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
RAMOTSABABA FAMILY HEALTH,864616-8,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Individual practitioner,-24.66953,25.92785,3975150,Urban,FALSE,OPERATIONAL,PUBLISHED,200,2023-08-14T07:29:58Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fox Eye Opticians,808792-6,20643,NA,NA,NA,Individual practitioner,-21.17875083,27.51012309,+267 2408470,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Pharma Kweneng Pharmacy,739445-5,NA,Kweneng East,Kweneng East,MOGODITSHANE,Individual practitioner,-24.634982,25.893274,3960230,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-21T14:01:14Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
WRIGHTWAY'S DENTAL SERVICES,1098164-5,820,Greater Gaborone,NA,NA,Individual practitioner,-24.65515005,25.92898735,+267 3973736,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
KGALAGADI PHARMACY- GABZ,956740-5,366,Greater Gaborone,NA,NA,Individual practitioner,-24.6311008,25.9177144,+267 3170950,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Eretsha Health Post,240358-2,14-4-21,Okavango,Ngami,OKAVANGO,Health Post,-18.780458,22.687051,+267 5643234,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-08T13:34:22Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Siviya Health  Post,397733-7,02-4-15,North East,North East,TATI EAST,Health Post,-20.85758,27.67504,+267 2488230,Rural,FALSE,OPERATIONAL,PUBLISHED,1289,2023-04-18T08:39:59Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Serule Clinic,253506-0,16-3-23,Greater Francistown,Greater Francistown,SEROWE NORTH,Clinic with Maternity,-21.919171,27.301598,+267 2422233,Rural,FALSE,OPERATIONAL,PUBLISHED,19882,2023-04-06T06:33:33Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Sekakangwe Clinic,972576-3,02-3-07,North East,North East,TATI WEST,Clinic with Maternity,-20.541985,27.323353,+267 2489247,Rural,FALSE,OPERATIONAL,PUBLISHED,946,2023-04-18T09:29:00Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Themashanga Clinic,274686-5,02-3-09,North East,North East,TATI EAST,Clinic,-20.801292,27.557104,+267 2488218,Rural,FALSE,OPERATIONAL,PUBLISHED,1648,2023-04-20T10:48:38Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ramokgwebana Clinic,362146-3,02-3-12,North East,North East,TATI WEST,Clinic,-20.591077,27.651977,+267 2489213,Rural,FALSE,OPERATIONAL,PUBLISHED,1548,2023-04-20T07:15:31Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Butale Health Post,467438-8,02-4-01,North East,North East,TATI EAST,Health Post,-20.682174,27.694977,+267 2488223,Rural,FALSE,OPERATIONAL,PUBLISHED,549,2023-04-20T09:32:39Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mbalambi Health Post,201391-0,02-4-07,North East,North East,TATI WEST,Health Post,-20.503608,27.335491,+267 2489244,Rural,FALSE,OPERATIONAL,PUBLISHED,1037,2023-04-18T10:00:56Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Matenge Health Post,495949-0,02-4-10,North East,North East,TATI WEST,Health Post,-20.852121,27.250254,+267 2981463,Rural,FALSE,OPERATIONAL,PUBLISHED,422,2023-02-24T09:21:32Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jackalas 2 Health Post,524549-3,02-4-05,North East,North East,TATI EAST,Health Post,-20.9545382,27.6745728,+267 2488231,Rural,FALSE,OPERATIONAL,PUBLISHED,1222,2023-04-18T08:13:50Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gambule Health Post,704753-3,02-4-02,North East,North East,TATI WEST,Health Post,-20.562717,27.394086,+267 2489240,Rural,FALSE,OPERATIONAL,PUBLISHED,482,2023-04-18T12:18:28Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Makaleng Clinic,282980-2,02-3-01,North East,North East,TATI WEST,Clinic with Maternity,-20.796368,27.265555,+267 2981233,Rural,FALSE,OPERATIONAL,PUBLISHED,1256,2023-04-18T13:26:53Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kgomodiatshaba Health Post,439627-1,09-4-05,Kgatleng,Kgatleng,MOCHUDI WEST,Health Post,-23.66574,26.073277,5757008,Rural,FALSE,OPERATIONAL,PUBLISHED,747,2023-04-25T05:58:20Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dikgonnye Health Post,500663-0,09-4-03,Kgatleng,Kgatleng,MOCHUDI WEST,Health Post,-24.140298,26.006055,+267 73237170,Rural,FALSE,OPERATIONAL,PUBLISHED,666,2023-04-14T07:30:34Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Artesia Clinic,153397-5,09-3-01,Kgatleng,Kgatleng,MOCHUDI WEST,Clinic with Maternity,-24.013836,26.320154,+267 5729710,Rural,FALSE,OPERATIONAL,PUBLISHED,3963,2024-02-08T09:53:59Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Glen Valley Clinic,34897-9,15-3-21,Greater Gaborone,Greater Gaborone,GABORONE NORTH,Clinic,-24.589429,25.959514,3666640,Urban,TRUE,OPERATIONAL,PUBLISHED,200,2023-06-12T08:58:56Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Thamaga  Main Clinic,188465-9,05-03-20,Kweneng East,Kweneng East,THAMAGA-KUMAKWANE,Clinic,-24.678014,25.538822,5960989,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-07-21T13:00:02Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dzoroga Health Post,965513-5,12-4-03,Tutume,Tutume,NATA-GWETA,Health Post,-20.155347,25.794528,+267 2470063,Rural,FALSE,OPERATIONAL,PUBLISHED,634,2023-04-05T11:17:42Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Changate Health Post,849574-9,12-4-08,Tutume,Tutume,NKANGE,Health Post,-20.325567,27.227953,+267 2986291,Rural,FALSE,OPERATIONAL,PUBLISHED,1182,2023-04-05T09:52:33Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Sedie Clinic,782149-9,01-3-12,Ngami,Ngami,MAUN EAST,Clinic,-19.961789,23.453589,+267 73310767,urban,FALSE,OPERATIONAL,PUBLISHED,1990,2023-01-19T01:34:34Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kalakamati Health Post,932660-4,02-4-06,North East,North East,TATI WEST,Health Post,-20.596359,27.313001,+267 2489249,Rural,FALSE,OPERATIONAL,PUBLISHED,858,2023-04-18T11:53:13Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kacgae Health Post,899084-8,07-4-03,Ghanzi,Ghanzi,GHANZI SOUTH,Health Post,-22.855426,22.206943,+267 73925245,Rural,FALSE,OPERATIONAL,PUBLISHED,559,2023-02-21T08:16:12Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mosetse Health Post,822378-6,12-4-13,Tutume,Tutume,NATA-GWETA,Health Post,-20.646983,26.638469,+267 2977050,Rural,FALSE,OPERATIONAL,PUBLISHED,2276,2023-04-03T14:17:42Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mokgoro Clinic,456797-0,12-3-17,Tutume,Tutume,NATA-GWETA,Clinic,-20.591168,26.533987,+267 2977152,Rural,FALSE,OPERATIONAL,PUBLISHED,1696,2023-04-11T07:12:31Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Maposa Health Post,522018-1,12-4-07,Tutume,Tutume,NATA-GWETA,Health Post,-20.112487,26.248039,+267 2470061,Rural,FALSE,OPERATIONAL,PUBLISHED,511,2023-04-05T11:04:16Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kutamogoree Health Post,466505-5,12-4-27,Tutume,Tutume,NATA-GWETA,Health Post,-20.749205,26.900835,+267 2470058,Rural,FALSE,OPERATIONAL,PUBLISHED,3000,2023-04-05T11:49:16Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Manxotai Health Post,272084-5,12-4-06,Tutume,Tutume,NATA-GWETA,Health Post,-20.109198,26.376322,+267 2470062,Rural,FALSE,OPERATIONAL,PUBLISHED,991,2023-04-06T07:01:28Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dibete Health Post,356155-2,08-4-04,Mahalapye,Mahalapye,SHOSHONG,Health Post,-23.751578,26.470278,+267 4770004,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-08-23T12:49:37Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
