ï»¿facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin2,admin1,Telephone,status
Kisa Health Post,414241-0,Health Post,GOVERNMENT,-25.844326,22.698461,Kgalagadi south,Kgalagadi South,+267 6542803,OPERATIONAL
Koala Medical Center,766553-2,Individual practitioner,PRIVATE,-24.59948,25.93933,South East,Greater Gaborone,3956895,OPERATIONAL
Kodibeleng Health Post,912739-0,Health Post,GOVERNMENT,-23.124915,26.196235,Mahalapye,Mahalapye,+267 74162960,OPERATIONAL
Kokong Clinic,117734-4,Clinic,GOVERNMENT,-24.344894,23.118357,Mabutsane,Southern,+267 5889113,OPERATIONAL
Kokotsha Health Post,938343-1,Health Post,GOVERNMENT,-24.920977,23.218776,Kgalagadi south,Kgalagadi South,+267 6545502,OPERATIONAL
Kole Clinic,273439-0,Clinic,GOVERNMENT,-22.99696805,20.19255207,Charleshill,Ghanzi,6511702,OPERATIONAL
Kolonkwaneng Health Post,669638-9,Health Post,GOVERNMENT,-26.64279,21.995955,Kgalagadi south,Kgalagadi South,+267 6511115,OPERATIONAL
Komana Health Post,146444-5,Health Post,GOVERNMENT,-20.196099,23.231239,Ngami,Ngami,+267 6872211,OPERATIONAL
Kopong Clinic,236213-5,Clinic,GOVERNMENT,-24.472472,25.890262,Kweneng East,Kweneng,+267 3102765,OPERATIONAL
Kotolaname Health Post,845952-1,Health Post,GOVERNMENT,-24.474619,25.27832,Kweneng West,Kweneng,+267 5960220,OPERATIONAL
Kubung ,361071-4,Health Post,GOVERNMENT,-24.64783,25.3303,Kweneng East,Kweneng,5930973,OPERATIONAL
Kubung Health Post,810131-3,Health Post,GOVERNMENT,-20.026518,23.427063,Ngami,Ngami,+267 6862543,OPERATIONAL
Kudumatse Health Post,338699-2,Health Post,GOVERNMENT,-23.40792,27.145492,Mahalapye,Mahalapye,+267 4749799,OPERATIONAL
Kuke Health Post,329309-9,Health Post,GOVERNMENT,-21.048398,22.403738,Ghanzi,Ghanzi,+267 73612437,OPERATIONAL
Kumakwane Health Post,941893-0,Health Post,GOVERNMENT,-24.663089,25.697977,Kweneng East,Kweneng,3998622,OPERATIONAL
Kutamogoree Health Post,466505-5,Health Post,GOVERNMENT,-20.749205,26.900835,Tutume,Tutume,+267 2470058,OPERATIONAL
Kwando BDF Health Post,286718-2,Health Post,GOVERNMENT,-17.829289,25.23531,Chobe,Chobe,+267 3664811,OPERATIONAL
Kweneng Health  Post,356568-6,Health Post,GOVERNMENT,-23.8829965,25.9453339,Kweneng East,Kweneng,+267 5960289,OPERATIONAL
L B K PHYSIO CLINIC,544235-5,Individual practitioner,PRIVATE,-24.6684359,25.9422041,Greater Gaborone,--,+267 3922040,OPERATIONAL
LA GRACE PVT MED CLINIC,529072-1,Individual practitioner,PRIVATE,-20.0258093,23.4374805,Ngami,--,+267 73718605,OPERATIONAL
LA VISTA MEDICAL CENTRE,333826-6,Individual practitioner,PRIVATE,-21.42612,25.57948,Boteti,Boteti,2974078,OPERATIONAL
LB Private Health Care,84999-2,Individual practitioner,PRIVATE,-25.23172,25.66795,Lobatse,Greater Lobatse,5306838,OPERATIONAL
LEFIKA DETAL CLINIC,694165-2,Individual practitioner,PRIVATE,-21.176929,27.510513,Greater Francistown,Greater Francistown,+267 2405077,OPERATIONAL
LEFKARA DENTAL SPA,913749-8,Individual practitioner,PRIVATE,-24.569588,25.974458,Greater Gaborone,--,+267 3111144,OPERATIONAL
LESEDING MEDICAL CENTER,751091-0,Individual practitioner,PRIVATE,-21.168284,27.515549,Greater Francistown,--,71677145/73741835,OPERATIONAL
LETLHAKANE PHARMACY,894865-5,Individual practitioner,PRIVATE,-21.41125,25.57848,Boteti,Boteti,2976933,OPERATIONAL
LIFE LINE MEDICAL CLINIC,789914-9,Individual practitioner,PRIVATE,-24.618065,25.884528,Kweneng East,--,+267 3975871,OPERATIONAL
LIFECHARGE PHYSIO & REHAB,554578-5,Individual practitioner,PRIVATE,-24.569478,25.975019,Greater Gaborone,--,+267 3113029,OPERATIONAL
LOBATSE PHARMACY,526922-0,Individual practitioner,PRIVATE,-25.227768,25.67057,Lobatse,--,+267 5330311,OPERATIONAL
LR PHYSIOTHERAPY,654707-9,Individual practitioner,PRIVATE,-24.6218752,25.9489792,Greater Gaborone,--,+267 3907675,OPERATIONAL
LUMACARE SURGINNOVATE,814699-5,Individual practitioner,PRIVATE,-24.65100633,25.945007,South East,Greater Gaborone,73041554,OPERATIONAL
Labscroll Medicals Tutume,816867-6,Individual practitioner,PRIVATE,-20.489234,27.041414,Tutume,Tutume,75507088,OPERATIONAL
Lapologang Clinic,453145-5,Clinic,GOVERNMENT,-21.183308,27.510603,Greater Francistown,Greater Francistown,267 2418504,OPERATIONAL
Lecheng Clinic,154328-9,Clinic,GOVERNMENT,-22.669727,27.228101,Palapye,Serowe/Palapye,+267 4920981,OPERATIONAL
Leetile Health Post,706329-0,Health Post,GOVERNMENT,-23.107598,26.808212,Mahalapye,Mahalapye,2674742009,OPERATIONAL
Lefhoko Health Post,972813-0,Health Post,GOVERNMENT,-24.834332,24.669887,Jwaneng,Southern,+267 5810028,OPERATIONAL
Lehututu Health Post,751937-4,Health Post,GOVERNMENT,-23.916725,21.83424,Kgalagadi North,Kgalagadi North,+267 5810260,OPERATIONAL
Lejwana Health Post,219004-9,Health Post,GOVERNMENT,-25.409707,25.53762,Goodhope,Greater Lobatse,+267 5410811,OPERATIONAL
Lekgolobotlo Health Post,747272-3,Health Post,GOVERNMENT,-24.907735,25.629941,Moshupa,Southern,+267 73229685,OPERATIONAL
Lekgwapeng Health  Post,933244-6,Health Post,GOVERNMENT,-24.393139,25.475557,Kweneng East,Kweneng,5915372,OPERATIONAL
Lenmed Bokamoso Private Hospital,664672-3,Private Hospital,PRIVATE,-24.57982,25.83988,Greater Gaborone,Greater Gaborone,3694000,OPERATIONAL
Lentswelemoriti Health Post,854774-7,Health Post,GOVERNMENT,-22.176613,29.306519,Bobirwa,Greater Phikwe,+267 2645434,OPERATIONAL
Lentsweletau Clinic,391399-3,Clinic with Maternity,GOVERNMENT,-24.253635,25.851591,Kweneng East,Kweneng,+267 5779301,OPERATIONAL
Lenyanti BDF Health Post,945939-7,Health Post,GOVERNMENT,-18.295082,23.908852,Chobe,Chobe,+267 3664811,OPERATIONAL
Lepashe Health Post,409920-6,Health Post,GOVERNMENT,-20.836061,26.6785,Tutume,Tutume,+267 2470059,OPERATIONAL
Lephepe Clinic,493151-5,Clinic with Maternity,GOVERNMENT,-23.357654,25.854058,Kweneng East,Kweneng,+267 5960462,OPERATIONAL
Lepokole Health Post,811002-5,Health Post,GOVERNMENT,-21.782826,28.340973,Bobirwa,Greater Phikwe,+267 2650187,OPERATIONAL
Leporung Health Post,178647-4,Health Post,GOVERNMENT,-25.757662,24.966176,Goodhope,Greater Lobatse,+267 5410816,OPERATIONAL
Lerala Clinic,193948-7,Clinic,GOVERNMENT,-22.792373,27.762761,Palapye,Serowe/Palapye,+267 4954019,OPERATIONAL
Lesenepole(Matolwane) Health Post,1078910-5,Clinic,GOVERNMENT,-22.520042,27.538443,Palapye,Serowe/Palapye,+267 4918140,OPERATIONAL
Lesetlhana Clinic,481757-3,Clinic,GOVERNMENT,-24.85625,25.856699,South East,Greater Gaborone,+267 5390191,OPERATIONAL
Leshibitse Health Post,361644-8,Health Post,GOVERNMENT,-23.840988,26.449206,Kgatleng,Kgatleng,5757009,OPERATIONAL
Lesilakgokong,943097-6,Health Post,GOVERNMENT,-24.55399,25.37277,Kweneng East,Kweneng,5960987,OPERATIONAL
Lesirane Clinic,749268-9,Clinic with Maternity,GOVERNMENT,-24.6254,25.8552,Kweneng East,Greater Gaborone,3932237/3975342/3968001,OPERATIONAL
Lesole Clinic,793680-0,Clinic,GOVERNMENT,-21.969888,27.872356,Phikwe,Greater Phikwe,+267 2610570,OPERATIONAL
Lesoma Health Post,773237-3,Health Post,GOVERNMENT,-19.90456,23.225657,Chobe,Chobe,+267 6240052,OPERATIONAL
Letlhakane Clinic,334207-8,Clinic,GOVERNMENT,-21.432197,25.59788,Boteti,Boteti,+267 2976330,OPERATIONAL
Letlhakane Dental Clinic ,939599-7,Individual practitioner,PRIVATE,-21.413196,25.581958,Boteti,Boteti,73339793,OPERATIONAL
Letlhakane Dental Clinic,448842-5,Individual practitioner,PRIVATE,-21.42399,25.592016,Greater Gaborone,--,+267 2974581,OPERATIONAL
Letlhakane Primary Hospital,609192-0,Primary Hospital,GOVERNMENT,-21.420857,25.584253,Boteti,Boteti,+267 2978242,OPERATIONAL
Letlhakeng Clinic,265991-0,Clinic with Maternity,GOVERNMENT,-24.099881,25.024007,Kweneng West,Kweneng,+267 5943012,OPERATIONAL
Letoreng Health Post,206797-3,Health Post,GOVERNMENT,-23.158201,27.529976,Mahalapye,Mahalapye,+267 4740164,OPERATIONAL
Letsholathebe Health Post,981309-8,Health Post,GOVERNMENT,-20.684736,27.440843,North East,North East,+267 2489224,OPERATIONAL
Letsholathebe II Memorial District Hospital,438206-5,District Hospital,GOVERNMENT,-19.986953,23.463493,Ngami,Ngami,+267 6879000,OPERATIONAL
Liberty Medical Centre,545351-9,Individual practitioner,PRIVATE,-25.0279847,25.7414225,South East,Greater Gaborone,+267 5350010/72860536,OPERATIONAL
Life Centre Clinic,242824-1,Individual practitioner,PRIVATE,-24.8762363,25.8749378,South East,Greater Gaborone,5380090/71675336,OPERATIONAL
Life Citadel Clinic,664819-0,Individual practitioner,PRIVATE,-21.967893,27.846374,Phikwe,Greater Phikwe,2613727,OPERATIONAL
Life Line Medical Clinic,847194-8,Individual practitioner,PRIVATE,-24.618075,25.88433,Greater Gaborone,Greater Gaborone,+267 3975871,OPERATIONAL
Lobone clinics,826083-8,Individual practitioner,PRIVATE,-24.65339,25.90365,Greater Gaborone,Greater Gaborone,77575267,OPERATIONAL
Lokgwabe Health Post,560691-8,Health Post,GOVERNMENT,-24.11336,21.778713,Kgalagadi North,Kgalagadi North,+267 5810261,OPERATIONAL
Loologane Health Post ,974945-8,Health Post,GOVERNMENT,-23.35799,25.68696,Kweneng East,Kweneng,+267 5960463,OPERATIONAL
Lorato Medical Centre,675371-9,Individual practitioner,PRIVATE,-24.087166,25.029347,Kweneng West,Kweneng,5943091,OPERATIONAL
Lordsland Medical Center,89938-5,Poly Clinic,PRIVATE,-21.1701503,27.5154607,Greater Francistown,Greater Francistown,2419696,OPERATIONAL
Lorolwane Health Post,377840-4,Health Post,GOVERNMENT,-25.320503,24.478924,Kanye,Southern,+267 5401619,OPERATIONAL
Lorwana Clinic,172824-5,Clinic,GOVERNMENT,-25.35533,25.52646,Lobatse,Greater Lobatse,+267 5350016,OPERATIONAL
Lotlhakane East  Clinic,795021-5,Clinic with Maternity,GOVERNMENT,-25.082399,25.453414,Kanye,Southern,+267 5401943,OPERATIONAL
Lotlhakane West Clinic,702756-8,Clinic,GOVERNMENT,-24.812298,25.312161,Moshupa,Southern,+267 73229782,OPERATIONAL
Lotsane Clinic ,732770-3,Clinic,GOVERNMENT,-22.554852,27.112461,Palapye,Serowe/Palapye,+267 4921895,OPERATIONAL
Lotsane Senior School Clinic,221102-7,Clinic,GOVERNMENT,-22.558049,27.08591,Palapye,Serowe/Palapye,,OPERATIONAL
MALL SCAN CENTRE,489451-5,Individual practitioner,PRIVATE,-24.6284288,25.9227648,South East,--,+267 71975487,OPERATIONAL
MARVEL PHARMACY,571873-9,Individual practitioner,PRIVATE,-21.1672276,26.419389,Chobe,--,+267 6251465,OPERATIONAL
MASA FAMILY CLINIC,135575-9,Individual practitioner,PRIVATE,-22.38773831,26.70396939,Greater Gaborone,--,+267 71810727,OPERATIONAL
MASA MEDICAL CLINIC,746029-8,Individual practitioner,PRIVATE,-22.551487,27.11471,Palapye,Serowe/Palapye,4922359,OPERATIONAL
MASA MEDICAL CLINIC,892124-9,Individual practitioner,PRIVATE,-21.1672276,26.419389,Greater Gaborone,--,+267 4922359,OPERATIONAL
MASA PHYSIOTHERAPY CLINIC,958002-8,Individual practitioner,PRIVATE,-24.6473929,25.9057302,Greater Gaborone,--,+267 3182440,OPERATIONAL
MASUNGA MEDICAL SERVICES,239899-8,Individual practitioner,PRIVATE,-20.62427,27.4437,North East,North East,+267 2489567,OPERATIONAL
MCH SURGICAL CLINIC,58597-6,Individual practitioner,PRIVATE,-21.234349,27.49371,Greater Francistown,Greater Francistown,72947507,OPERATIONAL
MED-PARK PHARMACY,689860-5,Individual practitioner,PRIVATE,-24.6414206,25.9113084,Greater Gaborone,--,+267 3951176,OPERATIONAL
MEDICALLIC ENTERPRISES T/A DR RJ BREDENKAMP,713688-0,Individual practitioner,PRIVATE,-21.69582,21.65038,Ghanzi,Ghanzi,6596727,OPERATIONAL
MEDICOS PHARMACY,102362-1,Individual practitioner,PRIVATE,-24.6349824,25.9457024,Greater Gaborone,--,+267 3184196,OPERATIONAL
MEDLASS IMAGING,830217-6,Individual practitioner,PRIVATE,-24.670696,25.911535,Greater Gaborone,--,+267 76335989,OPERATIONAL
MMADINARE MEDICAL CENTER,836692-4,Individual practitioner,PRIVATE,-21.422,25.5882,Phikwe,--,+267 73825873,OPERATIONAL
MODEST PHARMACY,1044538-5,Individual practitioner,PRIVATE,-24.66343849,25.91159793,Greater Gaborone,--,+267 3971865,OPERATIONAL
MOSIME OPTOMETRISTS,969938-0,Group practice,PRIVATE,-22.5514,27.11471,Palapye,Serowe/Palapye,4921186,OPERATIONAL
MOULICK'S FAMILY CARE,179797-6,Individual practitioner,PRIVATE,-24.65792,25.8965504,Kweneng East,--,+267 71513617,OPERATIONAL
MOUPULE POWER STATION CLINIC,139415-4,Private Hospital,PRIVATE,-22.52,27.036667,Palapye,Serowe/Palapye,4943427,OPERATIONAL
Maape Health Post,147856-9,Health Post,GOVERNMENT,-22.854492,27.296614,Mahalapye,Mahalapye,+267 4918099,OPERATIONAL
Mababe Health Post,407358-1,Health Post,GOVERNMENT,-19.180924,23.996836,Ngami,Ngami,,OPERATIONAL
Mabele Health Post,513809-4,Health Post,GOVERNMENT,-17.987152,24.646563,Chobe,Chobe,+267 6240208,OPERATIONAL
Mabeleapudi Clinic,688812-7,Clinic,GOVERNMENT,-22.21933,26.832395,Serowe,Serowe/Palapye,2674600267,OPERATIONAL
Mabeleng Health Post,193195-5,Health Post,GOVERNMENT,-21.982331,28.43473404,Bobirwa,Greater Phikwe,+267 2619200,OPERATIONAL
Mabesekwa Health Post,802273-3,Health Post,GOVERNMENT,-21.30778,26.880524,Greater Francistown,Greater Francistown,+267 2977293,OPERATIONAL
Mabolwe Health Post,170913-8,Health Post,GOVERNMENT,-21.820293,28.824942,Bobirwa,Greater Phikwe,+267 2645186,OPERATIONAL
Mabudzane Health  Post,870308-4,Health Post,GOVERNMENT,-20.908692,27.630733,North East,North East,+267 2488094,OPERATIONAL
Mabule Clinic,894895-2,Clinic with Maternity,GOVERNMENT,-25.768064,24.560831,Goodhope,Greater Lobatse,+267 5487216,OPERATIONAL
Mabuo Health Post,162465-9,Health Post,GOVERNMENT,-22.625971,26.357756,Serowe,Serowe/Palapye,2674620344,OPERATIONAL
Mabutsane Clinic,791197-7,Clinic with Maternity,GOVERNMENT,-24.396071,23.577519,Mabutsane,Southern,+267 5889218,OPERATIONAL
Machaneng Clinic ,867922-7,Clinic with Maternity,GOVERNMENT,-23.181384,27.488793,Mahalapye,Mahalapye,+267 4940270,OPERATIONAL
Madiba Health Post,719032-5,Health Post,GOVERNMENT,-23.081726,26.818272,Mahalapye,Mahalapye,+267 4710981,OPERATIONAL
Madiba Senior Secondary School Clinic,219564-2,Clinic,GOVERNMENT,,,Mahalapye,Mahalapye,,OPERATIONAL
Madisakwane Health Post,512171-0,Health Post,GOVERNMENT,-21.448829,27.476809,Greater Francistown,Greater Francistown,+267 2485529,OPERATIONAL
Mafhikana Clinic,518039-3,Clinic,GOVERNMENT,-24.991023,25.357684,Kanye,Southern,+267 5440752,OPERATIONAL
Mafhungo/Hubona,218345-7,Health Post,GOVERNMENT,-20.942894,27.262162,Tutume,Tutume,2470093,OPERATIONAL
Mafitlhakgosi Clinic,811879-6,Clinic with Maternity,GOVERNMENT,-24.655639,25.970601,Greater Gaborone,Greater Gaborone,+267 3928563,OPERATIONAL
Magapatona Clinic,221119-1,Clinic,GOVERNMENT,-20.515852,27.059002,Tutume,Tutume,+267 2987724,OPERATIONAL
Magee Medical Imaging Pty Ltd,547122-3,Individual practitioner,PRIVATE,-24.6364471,25.9226652,Greater Gaborone,--,+267 71485230,OPERATIONAL
Magokotswane  Health Post,728666-9,Health Post,GOVERNMENT,-24.399791,25.572679,Kweneng East,Kweneng,5920093,OPERATIONAL
Magoriapitse Health Post,584792-6,Health Post,GOVERNMENT,-25.446017,25.038292,Goodhope,Greater Lobatse,+267 5410347,OPERATIONAL
Magotlhwane Health Post,608860-3,Health Post,GOVERNMENT,-24.999179,25.590513,Moshupa,Southern,+267 73229857,OPERATIONAL
Mahalapye District Hospital,103328-1,--,GOVERNMENT,-23.115585,26.839487,Mahalapye,Mahalapye,+267 4718000,OPERATIONAL
Mahalapye Prisons Clinic,687486-1,Clinic,GOVERNMENT,-23.11435162,26.85773134,Mahalapye,Mahalapye,4710650,OPERATIONAL
Mahetlwe Health Post,763910-7,Health Post,GOVERNMENT,-24.236532,25.6739,Kweneng East,Kweneng,+267 5960128,OPERATIONAL
Mahlaku Lekganyane Clinic,914848-7,Clinic,GOVERNMENT,-24.5639,25.8323,Kweneng East,Greater Gaborone,+267 3960307,OPERATIONAL
Mahotshwane Health Post,431094-2,Health Post,GOVERNMENT,-24.417175,24.223076,Mabutsane,Southern,+267 73715164,OPERATIONAL
Maitengwe Clinic,125795-5,Clinic with Maternity,GOVERNMENT,-20.1385485,27.1987148,Tutume,Tutume,+267 2986209,OPERATIONAL
Majaalela Health Post,713820-9,Health Post,GOVERNMENT,-25.396224,25.437516,Goodhope,Greater Lobatse,+267 5409575,OPERATIONAL
Majwana-a-dipitse Health Post,810456-4,Health Post,GOVERNMENT,-22.022869,26.793307,Serowe,Serowe/Palapye,26771876190,OPERATIONAL
Majwaneng Health Post,636538-1,Clinic,GOVERNMENT,-22.748946,27.633556,Palapye,Serowe/Palapye,+267 4950100,OPERATIONAL
Makakatlela  Clinic,653316-0,Clinic,GOVERNMENT,-24.3598,26.139,Kgatleng,Kgatleng,+267 5748137,OPERATIONAL
Makakung Health Post,490782-0,Health Post,GOVERNMENT,-20.381941,22.335109,Ngami,Ngami,+267 73107376,OPERATIONAL
Makalamabedi Clinic,758776-9,Clinic with Maternity,GOVERNMENT,-20.328646,23.879002,Ngami,Ngami,+267 73294043,OPERATIONAL
Makaleng Clinic,282980-2,Clinic with Maternity,GOVERNMENT,-20.796368,27.265555,North East,North East,+267 2981233,OPERATIONAL
Make Health Post,349554-6,Health Post,GOVERNMENT,-23.69552,21.784937,Kgalagadi North,Kgalagadi North,+267 76875321,OPERATIONAL
Makgophana Health Post,849220-9,Health Post,GOVERNMENT,-24.389843,26.180225,Kgatleng,Kgatleng,+267 5710273,OPERATIONAL
Makopong Clinic ,1019252-4,Clinic with Maternity,GOVERNMENT,-25.334374,22.971302,Kgalagadi south,Kgalagadi South,+267 6544021,OPERATIONAL
Makunda Health Post,385056-7,Health Post,GOVERNMENT,-22.3883707,20.12162939,Charleshill,Ghanzi,6511703,OPERATIONAL
Makuta Health Post,211721-6,Health Post,GOVERNMENT,-20.678869,27.122671,Tutume,Tutume,2470602,OPERATIONAL
Makwate Health post,785760-0,Health Post,GOVERNMENT,-23.295693,27.280302,Mahalapye,Mahalapye,+267 4940015,OPERATIONAL
Malaka Health Post,889396-8,Clinic,GOVERNMENT,-22.613322,27.333195,Palapye,Serowe/Palapye,+267 4910282,OPERATIONAL
Malatswai Health Post,557244-1,Health Post,GOVERNMENT,-21.814826,25.93687,Serowe,Serowe/Palapye,2674639561,OPERATIONAL
Maleshe Health Post,1004633-2,Health Post,GOVERNMENT,-25.861419,22.430058,Kgalagadi south,Kgalagadi South,+267 6511113,OPERATIONAL
Malolwane  Clinic,121018-6,Clinic,GOVERNMENT,-24.535,26.4743,Kgatleng,Kgatleng,+267 5778251,OPERATIONAL
Malotwana Health Post,724416-3,Health Post,GOVERNMENT,-24.293333,26.169228,Kgatleng,Kgatleng,+267 5748253,OPERATIONAL
Malwelwe Health Post,741948-4,Health Post,GOVERNMENT,-23.987337,25.250716,Kweneng West,Kweneng,+267 5932005,OPERATIONAL
Mambo Health Post,573363-9,Health Post,GOVERNMENT,-20.798218,27.328163,North East,North East,+267 2488449,OPERATIONAL
Manaledi Health Post,263484-8,Clinic,GOVERNMENT,-22.714406,27.478306,Palapye,Serowe/Palapye,+267 4918472,OPERATIONAL
Mandunyane Health Post,176666-6,Health Post,GOVERNMENT,-21.382296,27.416952,Greater Francistown,Greater Francistown,+267 2485987,OPERATIONAL
Manga Clinic,647844-0,Clinic,GOVERNMENT,-21.875879,27.73784,Phikwe,Greater Phikwe,+267 2615576,OPERATIONAL
Mankgodi Clinic,894684-0,Clinic,GOVERNMENT,-24.720952,25.638084,Kweneng East,Kweneng,5930448,OPERATIONAL
Mantshwabisi Health Post,863362-0,Health Post,GOVERNMENT,-24.179538,25.269649,Kweneng West,Kweneng,+267 5930944,OPERATIONAL
Manwell Dental Surgery,389952-3,Individual practitioner,PRIVATE,-21.975577,27.837395,Phikwe,Greater Phikwe,2600646,OPERATIONAL
Manxotai Health Post,272084-5,Health Post,GOVERNMENT,-20.109198,26.376322,Tutume,Tutume,+267 2470062,OPERATIONAL
Manyana Clinic,275295-4,Clinic,GOVERNMENT,-24.771863,25.590032,Moshupa,Southern,+267 73229699,OPERATIONAL
Manyanda Health Post,274913-3,Health Post,GOVERNMENT,-21.426743,27.457496,Greater Francistown,Greater Francistown,+267 2485506,OPERATIONAL
Mapoka Clinic,388754-4,Clinic with Maternity,GOVERNMENT,-20.586762,27.590661,North East,North East,+267 2489255,OPERATIONAL
Maposa Health Post,522018-1,Health Post,GOVERNMENT,-20.112487,26.248039,Tutume,Tutume,+267 2470061,OPERATIONAL
Maralaleng Health Post,784733-8,Health Post,GOVERNMENT,-25.793885,22.68518009,Kgalagadi south,Kgalagadi South,+267 6511112,OPERATIONAL
Marang Dental Care,972870-0,Individual practitioner,PRIVATE,-24.85886257,25.86921407,South East,Greater Gaborone,+267 72158056,OPERATIONAL
Maranyane Medical Laboratory,825838-6,Individual practitioner,PRIVATE,-24.604185,24.728353,Jwaneng,Southern,267 73848074,OPERATIONAL
Marapong Clinic,765841-2,Clinic,GOVERNMENT,-20.893704,27.075143,Tutume,Tutume,+267 2981414,OPERATIONAL
Marobela Health Post,842802-1,Health Post,GOVERNMENT,-20.861542,27.228168,Tutume,Tutume,+267 2981333,OPERATIONAL
Masa Family Clinic,860796-2,Individual practitioner,PRIVATE,-22.38792004,26.70384916,Serowe,Serowe/Palapye,77691039,OPERATIONAL
Masego Clinic,743567-0,Clinic,GOVERNMENT,-21.202318,27.522269,Greater Francistown,Greater Francistown,+267 2401072,OPERATIONAL
Mashalaba Surgery,280883-0,Individual practitioner,PRIVATE,-24.6150212,25.9349621,Greater Gaborone,--,+267 72462376,OPERATIONAL
Masilo surgical Services,704344-1,Individual practitioner,PRIVATE,-24.639347,25.933559,Greater Gaborone,Greater Gaborone,3685642,OPERATIONAL
Masingwaneng Health Post,384465-1,Health Post,GOVERNMENT,-20.852242,27.322732,North East,North East,+267 2981213,OPERATIONAL
Masukwane Health Post,360176-2,Health Post,GOVERNMENT,-20.59017,27.548037,North East,North East,+267 2470599,OPERATIONAL
Masunga Clinic,957417-9,Clinic,GOVERNMENT,-20.623495,27.446179,North East,North East,+267 2489292,OPERATIONAL
Masunga Primary  Hospital,625958-4,Primary Hospital,GOVERNMENT,-20.616012,27.44204,North East,North East,+267 2489633,OPERATIONAL
Matebele Health Post,178427-1,Health Post,GOVERNMENT,-24.53731,26.040149,Kgatleng,Kgatleng,+267 5710133,OPERATIONAL
Matenge Health Post,495949-0,Health Post,GOVERNMENT,-20.852121,27.250254,North East,North East,+267 2981463,OPERATIONAL
Mathangwane Clinic ,798235-8,Clinic with Maternity,GOVERNMENT,-20.995457,27.336824,Greater Francistown,Greater Francistown,+267 2415963,OPERATIONAL
Mathathane Clinic,356146-1,Clinic with Maternity,GOVERNMENT,-22.2667738,28.749933,Bobirwa,Greater Phikwe,+267 2645127,OPERATIONAL
Matlapana Health Post,288910-3,Health Post,GOVERNMENT,-19.941198,23.501484,Ngami,Ngami,,OPERATIONAL
Matlhako Health Post,262687-7,Health Post,GOVERNMENT,-23.113635,27.566207,Mahalapye,Mahalapye,+267 4948231,OPERATIONAL
Matlhakola Health Post,172273-5,Clinic,GOVERNMENT,-22.718819,27.31105,Palapye,Serowe/Palapye,+267 4920051,OPERATIONAL
Matlhare Clinics,714083-3,Individual practitioner,PRIVATE,-24.977556,25.339935,Kanye,Southern,5440428,OPERATIONAL
Matobo Health Post,308621-2,Health Post,GOVERNMENT,-20.560301,27.117156,Tutume,Tutume,+267 2986221,OPERATIONAL
Matopi Health Post,510551-5,Health Post,GOVERNMENT,-21.450214,27.946734,Greater Francistown,Greater Francistown,+267 2470711,OPERATIONAL
Matsaudi Health Post,991577-8,Health Post,GOVERNMENT,-19.845124,23.590579,Ngami,Ngami,+267 6840089,OPERATIONAL
Matsha Medical Center,226320-0,Individual practitioner,PRIVATE,-26.0222219,22.4000585,Kgalagadi south,Kgalagadi South,2676540244,OPERATIONAL
Matshelagabedi Clinic,243426-4,Clinic with Maternity,GOVERNMENT,-21.118833,27.659796,Greater Francistown,Greater Francistown,+267 2414771,OPERATIONAL
Matshwane Clinic,440145-1,Clinic,GOVERNMENT,-20.033528,23.44779,Ngami,Ngami,+267 6840348,OPERATIONAL
Matsitama Health Post,832743-9,Health Post,GOVERNMENT,-21.025988,26.68914,Tutume,Tutume,+267 2470060,OPERATIONAL
Maubelo Health Post,445141-5,Health Post,GOVERNMENT,-26.074988,22.377282,Kgalagadi south,Kgalagadi South,+267 6540153,OPERATIONAL
Maun BDF Clinic,609449-4,Clinic,GOVERNMENT,-19.967681,23.45143,Ngami,Ngami,+267 6863039,OPERATIONAL
Maun Clinic,539949-8,Clinic,GOVERNMENT,-19.992299,23.417506,Ngami,Ngami,+267 73294077,OPERATIONAL
Maun General Clinic,393559-0,Clinic,GOVERNMENT,-20.00635,23.414309,Ngami,Ngami,+267 6860135,OPERATIONAL
Maun Prison Clinic,853367-1,Clinic,GOVERNMENT,-19.982554,23.425062,Ngami,Ngami,6864241,OPERATIONAL
Maunatlala Clinic,843198-3,Clinic,GOVERNMENT,-22.590725,27.629561,Palapye,Serowe/Palapye,+267 4958235,OPERATIONAL
Mbalambi Health Post,201391-0,Health Post,GOVERNMENT,-20.503608,27.335491,North East,North East,+267 2489244,OPERATIONAL
Medi-Glow Aesthetics,4405-7,Individual practitioner,PRIVATE,-24.67123,25.92955,Greater Gaborone,Greater Gaborone,71642681,OPERATIONAL
Medi-Perfect Pharmacy - Kgabo Mall,528225-6,Individual practitioner,PRIVATE,-24.406865,26.106151,Kgatleng,Kgatleng,+267 5729833,OPERATIONAL
Medi-Perfect Pharmacy - Pilane,786617-1,Individual practitioner,PRIVATE,-24.41212,26.108944,Kgatleng,Kgatleng,+267 5728022,OPERATIONAL
Medi-Perfect Pharmacy Mochudi,867623-1,Individual practitioner,PRIVATE,-24.3981,26.144985,Kgatleng,Kgatleng,+267  73435432  ,OPERATIONAL
Medical Diagnostic Imaging Centre,886589-1,Individual practitioner,PRIVATE,-24.6513664,25.9227648,Greater Gaborone,--,+267 71899311,OPERATIONAL
Medie Health Post,757774-5,Health Post,GOVERNMENT,-24.0670197,25.8656108,Kweneng East,Kweneng,+267 5960076,OPERATIONAL
